Stammera_capleta_CP024013.CDS.1
Stammera_capleta_CP024013.CDS.2	K00134
Stammera_capleta_CP024013.CDS.3	K04080
Stammera_capleta_CP024013.CDS.4	K03469
Stammera_capleta_CP024013.CDS.5	K02342
Stammera_capleta_CP024013.CDS.6	K01893
Stammera_capleta_CP024013.CDS.7
Stammera_capleta_CP024013.CDS.8	K03563
Stammera_capleta_CP024013.CDS.9	K01872
Stammera_capleta_CP024013.CDS.10	K03553
Stammera_capleta_CP024013.CDS.11	K00939
Stammera_capleta_CP024013.CDS.12	K04079
Stammera_capleta_CP024013.CDS.13	K02343
Stammera_capleta_CP024013.CDS.14	K03070
Stammera_capleta_CP024013.CDS.15	K03438
Stammera_capleta_CP024013.CDS.16	K01803
Stammera_capleta_CP024013.CDS.17	K02909
Stammera_capleta_CP024013.CDS.18	K04066
Stammera_capleta_CP024013.CDS.19	K11179
Stammera_capleta_CP024013.CDS.20	K03667
Stammera_capleta_CP024013.CDS.21	K01419
Stammera_capleta_CP024013.CDS.22	K03089
Stammera_capleta_CP024013.CDS.23	K08316
Stammera_capleta_CP024013.CDS.24	K02314
Stammera_capleta_CP024013.CDS.25	K03111
Stammera_capleta_CP024013.CDS.26	K02945
Stammera_capleta_CP024013.CDS.27	K05539
Stammera_capleta_CP024013.CDS.28	K01875
Stammera_capleta_CP024013.CDS.29	K00384
Stammera_capleta_CP024013.CDS.30
Stammera_capleta_CP024013.CDS.31	K02518
Stammera_capleta_CP024013.CDS.32	K03625
Stammera_capleta_CP024013.CDS.33	K01358
Stammera_capleta_CP024013.CDS.34	K03544
Stammera_capleta_CP024013.CDS.35	K01338
Stammera_capleta_CP024013.CDS.36	K01491
Stammera_capleta_CP024013.CDS.37	K01883
Stammera_capleta_CP024013.CDS.38
Stammera_capleta_CP024013.CDS.39	K03977
Stammera_capleta_CP024013.CDS.40	K01892
Stammera_capleta_CP024013.CDS.41	K14742
Stammera_capleta_CP024013.CDS.42	K00600
Stammera_capleta_CP024013.CDS.43	K03686
Stammera_capleta_CP024013.CDS.44	K04043
Stammera_capleta_CP024013.CDS.45	K01870
Stammera_capleta_CP024013.CDS.46	K02528
Stammera_capleta_CP024013.CDS.47	K02968
Stammera_capleta_CP024013.CDS.48	K01810
Stammera_capleta_CP024013.CDS.49	K00566
Stammera_capleta_CP024013.CDS.50	K01879
Stammera_capleta_CP024013.CDS.51	K01878
Stammera_capleta_CP024013.CDS.52	K02879
Stammera_capleta_CP024013.CDS.53	K03040
Stammera_capleta_CP024013.CDS.54	K02986
Stammera_capleta_CP024013.CDS.55	K02948
Stammera_capleta_CP024013.CDS.56	K02952
Stammera_capleta_CP024013.CDS.57	K02919
Stammera_capleta_CP024013.CDS.58	K03076
Stammera_capleta_CP024013.CDS.59	K02876
Stammera_capleta_CP024013.CDS.60	K02988
Stammera_capleta_CP024013.CDS.61	K02881
Stammera_capleta_CP024013.CDS.62	K02933
Stammera_capleta_CP024013.CDS.63	K02994
Stammera_capleta_CP024013.CDS.64	K02954
Stammera_capleta_CP024013.CDS.65	K02931
Stammera_capleta_CP024013.CDS.66	K02895
Stammera_capleta_CP024013.CDS.67	K02874
Stammera_capleta_CP024013.CDS.68	K02961
Stammera_capleta_CP024013.CDS.69	K02904
Stammera_capleta_CP024013.CDS.70	K02878
Stammera_capleta_CP024013.CDS.71	K02982
Stammera_capleta_CP024013.CDS.72	K02890
Stammera_capleta_CP024013.CDS.73	K02965
Stammera_capleta_CP024013.CDS.74	K02886
Stammera_capleta_CP024013.CDS.75	K02892
Stammera_capleta_CP024013.CDS.76	K02926
Stammera_capleta_CP024013.CDS.77	K02906
Stammera_capleta_CP024013.CDS.78	K02946
Stammera_capleta_CP024013.CDS.79	K02358
Stammera_capleta_CP024013.CDS.80	K02355
Stammera_capleta_CP024013.CDS.81	K02992
Stammera_capleta_CP024013.CDS.82	K02950
Stammera_capleta_CP024013.CDS.83	K01462
Stammera_capleta_CP024013.CDS.84	K00604
Stammera_capleta_CP024013.CDS.85	K03218
Stammera_capleta_CP024013.CDS.86	K03665
Stammera_capleta_CP024013.CDS.87	K00791
Stammera_capleta_CP024013.CDS.88	K03572
Stammera_capleta_CP024013.CDS.89	K06925
Stammera_capleta_CP024013.CDS.90	K13288
Stammera_capleta_CP024013.CDS.91	K02939
Stammera_capleta_CP024013.CDS.92	K02963
Stammera_capleta_CP024013.CDS.93	K02990
Stammera_capleta_CP024013.CDS.94	K03555
Stammera_capleta_CP024013.CDS.95	K02996
Stammera_capleta_CP024013.CDS.96	K02871
Stammera_capleta_CP024013.CDS.97	K03568
Stammera_capleta_CP024013.CDS.98	K02888
Stammera_capleta_CP024013.CDS.99	K02899
Stammera_capleta_CP024013.CDS.100	K03979
Stammera_capleta_CP024013.CDS.101	K03624
